"source","term_id","term_name","p_value","term_size","query_size","intersection_size"
"GO:BP","GO:0042327","positive regulation of phosphorylation",0.00420449386614814,276,927,30
"GO:BP","GO:0060411","cardiac septum morphogenesis",0.00426280627916174,58,927,11
"GO:BP","GO:0051128","regulation of cellular component organization",0.00426280627916174,2100,927,150
"GO:BP","GO:0120036","plasma membrane bounded cell projection organization",0.00430160677832222,1316,927,101
"GO:BP","GO:0006874","intracellular calcium ion homeostasis",0.00430160677832222,142,927,19
"GO:BP","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway",0.00430160677832222,49,927,10
"GO:BP","GO:0048754","branching morphogenesis of an epithelial tube",0.00439761905347592,131,927,18
"GO:BP","GO:0071805","potassium ion transmembrane transport",0.00439761905347592,131,927,18
"GO:BP","GO:0048659","smooth muscle cell proliferation",0.00442349551814842,109,927,16
"GO:BP","GO:0031952","regulation of protein autophosphorylation",0.0044261778378984,12,927,5
"GO:BP","GO:0001773","myeloid dendritic cell activation",0.0044261778378984,18,927,6
"GO:BP","GO:1903587","regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis",0.0044261778378984,12,927,5
"GO:BP","GO:0007567","parturition",0.0044261778378984,12,927,5
"GO:BP","GO:0019433","triglyceride catabolic process",0.0044261778378984,18,927,6
"GO:BP","GO:0030316","osteoclast differentiation",0.00444019376040321,88,927,14
"GO:BP","GO:0042692","muscle cell differentiation",0.00449763748794834,330,927,34
"GO:BP","GO:0072593","reactive oxygen species metabolic process",0.00450619979684432,178,927,22
"GO:BP","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",0.00451351483277691,25,927,7
"GO:BP","GO:0031128","developmental induction",0.00451351483277691,25,927,7
"GO:BP","GO:0003401","axis elongation",0.00451351483277691,25,927,7
"GO:BP","GO:0002791","regulation of peptide secretion",0.00452602747619229,143,927,19
"GO:BP","GO:0043270","positive regulation of monoatomic ion transport",0.00467949308289197,132,927,18
"GO:BP","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors",0.00467959624001412,41,927,9
"GO:BP","GO:0001934","positive regulation of protein phosphorylation",0.00469715584362882,253,927,28
"GO:BP","GO:0042475","odontogenesis of dentin-containing tooth",0.00473029068158069,59,927,11
"GO:BP","GO:1903115","regulation of actin filament-based movement",0.00484791635131518,33,927,8
"GO:BP","GO:0046888","negative regulation of hormone secretion",0.00484791635131518,50,927,10
"GO:BP","GO:0046545","development of primary female sexual characteristics",0.00484791635131518,89,927,14
"GO:BP","GO:0060415","muscle tissue morphogenesis",0.00484791635131518,50,927,10
"GO:BP","GO:0090087","regulation of peptide transport",0.00485101245612441,144,927,19
"GO:BP","GO:0050886","endocrine process",0.00494232127467342,69,927,12
"GO:BP","GO:0006952","defense response",0.00494232127467342,1292,927,99
"GO:BP","GO:0050920","regulation of chemotaxis",0.0049835902824261,156,927,20
"GO:BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway",0.00500162377091099,133,927,18
"GO:BP","GO:0030278","regulation of ossification",0.00504022334385803,100,927,15
"GO:BP","GO:0051216","cartilage development",0.00504089476989006,180,927,22
"GO:BP","GO:0022414","reproductive process",0.00504089476989006,1122,927,88
"GO:BP","GO:1903706","regulation of hemopoiesis",0.00513562692846551,320,927,33
"GO:BP","GO:0003006","developmental process involved in reproduction",0.00520539268932754,715,927,61
"GO:BP","GO:0030595","leukocyte chemotaxis",0.0053399663637201,157,927,20
"GO:BP","GO:0055008","cardiac muscle tissue morphogenesis",0.00544233346484677,42,927,9
"GO:BP","GO:0003231","cardiac ventricle development",0.00552159423229794,101,927,15
"GO:BP","GO:0035924","cellular response to vascular endothelial growth factor stimulus",0.00552159423229794,101,927,15
"GO:BP","GO:0045685","regulation of glial cell differentiation",0.00552159423229794,51,927,10
"GO:BP","GO:0003300","cardiac muscle hypertrophy",0.00552159423229794,70,927,12
"GO:BP","GO:0002043","blood vessel endothelial cell proliferation involved in sprouting angiogenesis",0.00569352274058428,19,927,6
"GO:BP","GO:0090189","regulation of branching involved in ureteric bud morphogenesis",0.00569352274058428,19,927,6
"GO:BP","GO:0048873","homeostasis of number of cells within a tissue",0.0057730079574004,34,927,8
"GO:BP","GO:1900744","regulation of p38MAPK cascade",0.0057730079574004,34,927,8
"GO:BP","GO:0045937","positive regulation of phosphate metabolic process",0.00590220749854636,323,927,33
"GO:BP","GO:0010562","positive regulation of phosphorus metabolic process",0.00590220749854636,323,927,33
"GO:BP","GO:0071456","cellular response to hypoxia",0.00597925662014886,124,927,17
"GO:BP","GO:0002683","negative regulation of immune system process",0.00600236074764555,391,927,38
"GO:BP","GO:0043266","regulation of potassium ion transport",0.00600236074764555,61,927,11
"GO:BP","GO:1904062","regulation of monoatomic cation transmembrane transport",0.00601057283675092,195,927,23
