"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Geneid"
1.7868001267757,-1.44566173177509,1.52947027768554,-0.945204201001359,0.344554635136187,NA,"ENSG00000305579.1"
4.37684477705896,1.01113316556649,0.905301729782191,1.11690183758929,0.264036298850259,NA,"ENSG00000132874.15"
3.68923298495533,0.960500524991297,0.970449630880822,0.98974794201272,0.322297335473195,NA,"ENSG00000267097.2"
2.48713276708547,1.75061101840403,1.23049704266585,1.42268608351253,0.154827176634426,NA,"ENSG00000266968.2"
2.19489096517869,-1.55065246544459,1.23446808670245,-1.25613005483742,0.209068820974018,NA,"ENSG00000288545.2"
3.48492401263465,0.658997788895127,1.03183384397698,0.638666576737939,0.523039860301521,NA,"ENSG00000101638.16"
1.82678213533066,0.913269647639794,1.53692273555806,0.594219622438069,0.552365230129709,NA,"ENSG00000270112.6"
2.41607176507606,0.259586847836161,1.19142111302698,0.21788001320259,0.827522600206624,NA,"ENSG00000274776.1"
2.69751006060382,1.06374610076996,1.34205081081077,0.792627292648719,0.42799500254968,NA,"ENSG00000278983.1"
1.26760001990296,0.553825813900327,1.80836842754134,0.306257179380924,0.759408839633179,NA,"ENSG00000279250.1"
1.12089216963262,0.609740967144447,1.88263996745969,0.32387550338007,0.746032290692273,NA,"ENSG00000267764.2"
2.48294196994373,0.0837773255750795,1.13344428704273,0.0739139334264612,0.941078868905869,NA,"ENSG00000298289.1"
1.97245697109232,1.96134984523442,1.45928127552214,1.34405195087057,0.17893158815738,NA,"ENSG00000266905.2"
2.760922688554,0.276024660546674,1.09071255283822,0.253068198241975,0.800215513257742,NA,"ENSG00000215472.10"
3.00069504460498,-0.982291274823913,1.08067108799842,-0.908964148049226,0.363369050782729,NA,"ENSG00000263916.1"
1.86231380733892,-0.882125696663599,1.49452891111911,-0.590236622457213,0.555032022639492,NA,"ENSG00000277310.1"
3.42891451740184,0.0345986330139453,0.937743595854205,0.0368956217530111,0.970568230707182,NA,"ENSG00000289868.2"
5.26254374585115,-0.606789394126133,0.794673456111084,-0.763570733940951,0.445123095202568,NA,"ENSG00000174448.10"
1.41529525958541,0.525413465922725,1.74263673114708,0.301504872777974,0.763029534845609,NA,"ENSG00000267284.3"
4.65517284592971,0.10967306171127,0.971732546037093,0.112863423334473,0.910138834944325,NA,"ENSG00000267325.3"
1.6331342186301,-1.46449380231768,1.73918691210393,-0.842056590999784,0.399756277658517,NA,"ENSG00000267057.7"
1.35369511749178,-1.37788654355141,1.74955931035835,-0.787562065140386,0.43095291125242,NA,"ENSG00000119547.6"
1.95328658497569,0.178581595424096,1.21353290989146,0.147158428064442,0.883006972886492,NA,"ENSG00000278703.1"
3.56335668917615,0.162057059198159,1.12714364293575,0.14377675836956,0.885676756300312,NA,"ENSG00000267226.3"
1.26789718376642,-0.658034464775645,1.99244789680504,-0.33026432752938,0.741200244592783,NA,"ENSG00000306190.1"
5.45570087819484,0.303883599669405,0.808719326029149,0.375759042585873,0.707096039338094,NA,"ENSG00000267774.2"
1.4619473405374,-0.342139925889261,1.65598501998247,-0.206608104397516,0.836315930437231,NA,"ENSG00000310295.1"
1.72229574373336,-1.8428040287923,1.53842791406733,-1.19784879872613,0.230975885658048,NA,"ENSG00000267497.1"
2.22203687088085,0.852361851561894,1.16329540652336,0.732713158482484,0.463733396698841,NA,"ENSG00000267742.1"
1.95081268862031,-1.20529539137811,1.322632108953,-0.911285446058179,0.362144992803588,NA,"ENSG00000101542.11"
3.07075060281258,-0.487612430598975,1.18673005018303,-0.410887404868337,0.681155098372706,NA,"ENSG00000267560.2"
4.52419737949607,-0.0344700832993014,0.902155154336765,-0.0382085976382219,0.969521365978964,NA,"ENSG00000166396.15"
3.09459502663261,2.01641309781521,1.16603341188543,1.72929272631626,0.083756717784773,NA,"ENSG00000221887.7"
1.18013855414742,-1.11121008414677,1.80229179135516,-0.616553928435327,0.537528990841321,NA,"ENSG00000283667.1"
3.16233980174088,-1.00081029500956,1.13988227242288,-0.877994437866193,0.379946737190619,NA,"ENSG00000265533.2"
1.99417447380126,-0.490813063608478,1.45354298227951,-0.337666701014072,0.735614371064287,NA,"ENSG00000285748.2"
3.790945990411,0.0612465090431335,0.954772695663277,0.0641477383269594,0.948852590403211,NA,"ENSG00000266258.2"
3.3271061983205,0.681811369145282,1.15584075373459,0.589883482601138,0.555268768532016,NA,"ENSG00000263958.5"
2.83505826992335,-0.984329103004848,1.29441920500652,-0.760440743769625,0.446991176700968,NA,"ENSG00000261780.4"
1.4716422585167,-0.08070856386089,1.48557920534876,-0.0543280113038085,0.956673832709927,NA,"ENSG00000286529.2"
2.68152927767098,0.150795802005612,1.08373147314002,0.139144987243652,0.88933557929533,NA,"ENSG00000150656.17"
